Total sentences,Total words,Total Syllable,Gunning Fog Index,Flesch Reading Ease,Flesch-Kincaid Grade
1140,3972,,9.83,57.48,6.11
1322,5850,,9.76,59.85,6.01
1239,5499,,8.63,66.35,5.11
1267,4155,,10.24,54.2,6.51
1793,6392,,9.47,56.05,6.33
1395,4555,,9.39,55.94,6.27
1389,4471,,8.97,62.01,5.41
0,0,,0,0,0
1190,3703,,10.49,54.01,6.5
1925,6353,,9.45,59.51,5.78
791,2122,,10.74,52.49,6.6
1084,3377,,8.6,66.71,4.73
1511,4923,,10.48,51.89,6.83
0,0,,0,0,0
2585,9501,,9.38,59.77,5.84
939,3535,,10.06,60.83,5.71
1306,5034,,10.54,56.11,6.39
922,2780,,10.54,52.26,6.72
1246,3437,,8.62,64.86,4.9
1554,5589,,9.64,57.67,6.11
1106,3440,,10.72,50.93,6.93
1227,4254,,10.81,52.13,6.85
1534,6316,,10.43,54.04,6.74
1395,4667,,11,50.32,7.07
1741,7247,,12,43.96,8.16
2084,5658,,8.59,65.23,4.84
4179,9067,,7.45,74.63,3.39
897,2762,,9.86,57.15,6.05
1355,4280,,10.34,53.96,6.52
1755,6876,,10.35,55.33,6.52
1047,2980,,11,50.56,6.91
1260,4153,,10.49,51.95,6.83
1082,3578,,11.02,50.71,7.01
0,0,,0,0,0
1135,5224,,9.28,63.02,5.61
1359,5550,,10.22,56.42,6.41
1125,4961,,8.08,69.94,4.6
1393,4948,,10.22,55.28,6.43
1574,5634,,11.16,48.99,7.32
2472,8679,,10.88,51.62,6.93
1595,5332,,9.73,57.63,6.05
1261,4044,,10.37,53.5,6.59
1282,4405,,10.46,52.76,6.75
1355,4578,,10.67,54.35,6.52
1213,4055,,10.76,53.58,6.62
3711,12031,,7.94,72.51,3.95
2548,9627,,9.78,57.69,6.15
6300,21719,,9.46,57.71,6.07
816,2299,,10.94,51.96,6.71
1361,4166,,10.35,52.58,6.69
1064,3465,,10.19,53.3,6.63
1021,3177,,11.43,46.91,7.49
1386,4673,,11.59,48.3,7.36
1102,3546,,11.59,46.73,7.54
873,2923,,10.69,52.24,6.8
1377,4194,,10.43,54.29,6.44
1086,3596,,11.25,48.51,7.32
1298,5251,,11.19,49.14,7.41
2184,7885,,9.3,60.86,5.67
1348,3158,,10.63,53.21,6.42
1131,4240,,10.33,52.05,6.93
524,1366,,11.91,48.8,7.1
1294,4204,,10.6,53.58,6.59
968,2957,,11.22,49.47,7.12
1023,3119,,11.18,50.9,6.92
1853,6477,,12.41,42.52,8.2
1150,3249,,11.1,49.56,7.05
1113,3612,,12.31,43.29,8.03
